tau=0.1,tau=0.25,tau=0.5,tau=1,tau=5,naive
0.36914861440987157,0.869212270659493,0.2791442232813996,0.37462711511305835,0.9843787662073633,0.0027834444371208633
0.679363668481801,0.42329877910651587,0.5084831975345977,0.9696273674707365,0.3853198465546056,0.002064076935571757
0.40809572434146296,0.24722583269781284,0.24405763700058666,0.36774384361612655,0.9393737448230379,0.026119401334154024
0.29903670058491555,0.2701282541004135,0.6928330348747563,0.9351329497303479,0.009039806843493378,0.0001148133514433658
0.0587770342865367,0.7814529707762763,0.4645736965970177,0.5905530502727833,0.9573565996235474,0.0010224326208763124
0.18977297648598182,0.9728106551479925,0.12221991602453869,0.06070917621169748,0.8383897449804929,0.0034408993604365667
0.6132564188656331,0.6683555056179711,0.12440888498729115,0.21188554273881804,0.7358577566909669,0.003211923481022616
0.9664471117966822,0.024980100022691028,0.840580583279191,0.8599284887093543,0.5411296285516551,0.0005879843896421377
0.013724956060701846,0.8232851676932317,0.021550480182692688,0.9254506643155956,0.30092145891537597,0.0005065068035217113
0.9055512026108039,0.023119208893453595,0.42734132302678896,0.36113519689676005,0.5736853819261535,0.013092475868233144
