tau=0.1,tau=0.25,tau=0.5,tau=1,tau=5,naive
0.091942548498781,0.33744264267587604,0.5903660230755585,0.19652709267461801,0.7200441833019063,0.0008900005690586354
0.8108060373301434,0.6292245055237813,0.9667420499614261,0.284258707590345,0.1956062184971882,0.0019204823835410334
0.22053164728386598,0.7275341716962419,0.9341635531954837,0.6280969291431585,0.2918078869647689,0.0023153662492678695
0.8831446787562863,0.4238832222821487,0.4237383515411991,0.6689640443015831,0.12583807147477158,0.00012425802556170762
0.15706772740467198,0.7171551912921738,0.366950329914443,0.5749346215100247,0.5397150409748841,0.00023918366896380494
0.6546635657141642,0.7551487680810156,0.81174971572614,0.47908169793114436,0.7527405051296898,6.124121833395169e-05
0.6560504735540107,0.33066569684484115,0.1922481620359725,0.8664633744319812,0.81789254010101,0.0032776385780394213
0.4992512252136751,0.9505431874435858,0.6373125259510216,0.5903387477380961,0.02605715621137248,0.0032055016719081397
0.7281805197643699,0.9970495796215458,0.5924793901496785,0.17917434518532777,0.27622336376767476,3.0071419611421568e-05
0.9590234132455936,0.7462949767625833,0.6873882510270426,0.3953270823361026,0.21953146394657072,0.00027319321329533075
0.3153495050472853,0.8824948098495378,0.9100804513636314,0.3760244515476905,0.4353463277563381,0.0008350486536592427
0.5344857096172545,0.11774659558448974,0.18065443903649397,0.5012794562493502,0.10839603603221465,0.003940623585251712
0.3385425559521183,0.6148442020255386,0.7083227105281328,0.5719690473160091,0.3480386279684772,0.00015965754681157573
0.3015068962645947,0.06737389348529656,0.6219921006376766,0.24043327257358316,0.7830559387424796,0.00013364068133425722
0.870838520239545,0.5030023320363523,0.9418181240082232,0.38145297838614123,0.7906710748783451,4.168399399262501e-05
0.39447338852680985,0.6991841549806979,0.06458004927928991,0.09985144873660787,0.009909704024763285,0.014578427340694255
0.277660673018095,0.7985339788796583,0.47956658563253196,0.29521267310278204,0.6092175114714721,0.017096467195359732
0.185846405339494,0.011931621807354556,0.677299453332049,0.027638275695193944,0.21765897082100882,5.032137429528127e-06
0.9790565283295242,0.642711713272028,0.16866483583884756,0.008434527335355215,0.8559372957319336,0.0007929357353648747
0.7162465862859856,0.0770575098842554,0.7523827288148384,0.17020349226241754,0.7965065537091459,0.0006080065500135845
0.5046525770759103,0.6654903952688652,0.32693851046275546,0.6210235725120794,0.6118459615539624,0.0001338728766521191
0.6937866731807819,0.21320852754298977,0.5393611565854812,0.8501210696703276,0.25598678690839094,0.0016284961231612938
0.17375062966354476,0.8038366237493241,0.2014800753470226,0.9936155278403459,0.41990686052282816,0.07312959268241359
0.9365094195817517,0.829485966021684,0.5223557688105313,0.07402260538893378,0.9456256633774818,0.0005335984949941253
0.37531463494865597,0.8570571865930637,0.46576782016974627,0.6679908413532089,0.37675851780069186,0.010830866176161691
0.9156332354258756,0.4187926447890366,0.940578381045997,0.11079767507276043,0.8794550207397217,0.0007214893466328531
0.8382931198539637,0.9960141814133304,0.39826379484899477,0.7067696230018141,0.14229429551584571,0.0009266555397092757
0.16586491598743125,0.45893188409933605,0.953953909847923,0.436808381736534,0.8329852293569555,0.0003369356535147805
0.3844012816694694,0.20565140506892904,,0.4542196247826633,0.4370645619204673,0.009490023387271673
